Tempo,Referencia,Saída,Erro
21.422264577,263.93046012,152.74329771915757,111.18716240084242
21.438033294,264.87658314,155.5161096113884,109.36047352861158
21.453814979,265.82348423999997,155.5161096113884,110.3073746286116
21.46983458,266.7846603,158.44801726792755,108.33664303207244
21.48549986,267.72457710000003,158.44801726792755,109.27655983207246
21.501247327,268.66942511999997,160.34580245646256,108.32362266353742
21.517054325,269.617845,160.34580245646256,109.2720425435374
21.532788354,270.56188674000003,163.37998596148563,107.18190077851438
21.548487332,271.50382542,163.37998596148563,108.12383945851435
21.564293757,272.45221091999997,166.80054489411464,105.65166602588535
21.580049766,273.39757146,166.80054489411464,106.59702656588533
21.595609681,274.33116636,167.4028360018533,106.92833035814671
21.611271159,275.27085504,167.4028360018533,107.86801903814671
21.626783836,276.20161566,165.98233810624325,110.21927755375678
21.642308544,277.13309814,165.98233810624325,111.15076003375674
21.657800595,278.0626212,162.97088256754995,115.09173863245009
21.673337751,278.99485056,162.97088256754995,116.02396799245001
21.689007041,279.93500796,159.59577956758045,120.33922839241954
21.704781227,280.88145912,159.59577956758045,121.28567955241954
21.720590985,281.8300446,155.73202529152113,126.09801930847891
21.736260119,282.77019264,155.73202529152113,127.03816734847888
21.751959149,283.71213444,151.6296273689993,132.08250707100072
21.767787657,284.66184492,151.6296273689993,133.03221755100074
21.783510749,285.60523044,147.43631758115845,138.1689128588416
21.799128634,286.54230354,147.43631758115845,139.10598595884153
21.814847663,287.48544527999996,142.76572050039258,144.7197247796074
21.830374663,288.41706528,142.76572050039258,145.65134477960743
21.845872131,289.34691336,138.2883111334297,151.05860222657026
21.861406891,290.27899895999997,138.2883111334297,151.9906878265703
21.876939671,291.21096576,134.01545346343465,157.19551229656534
21.892606357,292.15096692000003,134.01545346343465,158.13551345656535
21.908322366,293.09392746,129.5835000291313,163.51042743086867
21.924169624,294.04476294,129.5835000291313,164.46126291086873
21.9398173,294.98362349999996,124.9469948978601,170.0366286021399
21.955540965,295.9270434,124.9469948978601,170.9800485021399
21.971319422,296.87375082,120.62868129520554,176.24506952479445
21.987058816,297.81811446,120.62868129520554,177.18943316479448
22.002529565,298.7463594,115.99217616393432,182.75418323606567
22.018206564,299.68697934,115.99217616393432,183.69480317606565
22.033731897,300.61849932,111.1965752683548,189.42192405164522
22.049293115,301.5521724,111.1965752683548,190.35559713164523
22.064672511,302.47493615999997,106.86689768253537,195.60803847746462
22.080209979,303.40718424,106.86689768253537,196.54028655746464
22.095855259,304.34590104,102.2076645849344,202.13823645506557
22.111592413,305.29013027999997,102.2076645849344,203.0824656950656
22.127370661,306.23682515999997,97.69616326847687,208.54066189152311
22.143092087,307.18011071999996,97.69616326847687,209.4839474515231
22.158781325,308.121465,93.03693017087592,215.0845348291241
22.174583115,309.0695724,93.03693017087592,216.0326422291241
22.190171989,310.00490484,88.19587334263686,221.80903149736312
22.205892008,310.94810598000004,88.19587334263686,222.75223263736316
22.221723016,311.89796645999996,83.55936821136565,228.33859824863433
22.237471056,312.84284886,83.55936821136565,229.28348064863434
22.253185606,313.78572185999997,78.83195121477542,234.9537706452246
22.270168015,314.8046664,78.83195121477542,235.9727151852246
22.285959388,315.75214878,73.59315497576551,242.15899380423448
22.301579824,316.68937494,73.59315497576551,243.09621996423448
22.317115209,317.62149804,66.46793753138552,251.15356050861448
22.332686166,318.55575546,66.46793753138552,252.08781792861453
22.348253009,319.48976604,58.729064996101954,260.76070104389805
22.363881571,320.42747976,58.729064996101954,261.69841476389803
22.379510028,321.36518717999996,50.92200856182912,270.44317861817086
22.395153172,322.30377582,50.92200856182912,271.3817672581709
22.410879233,323.24733948000005,50.42199330257438,272.8253461774257
22.426711075,324.19725,50.42199330257438,273.7752566974256
22.442423854,325.14001673999996,51.66066746754635,273.47934927245365
22.458026791,326.07619296,51.66066746754635,274.4155254924537
22.473974934,327.03308154,52.956161548342706,274.0769199916573
22.489844275,327.98524199999997,52.956161548342706,275.02908045165725
22.505587732,328.92984942,54.05846791533611,274.8713815046639
22.521381344,329.87746614,54.05846791533611,275.8189982246639
22.537147769,60.298370219999995,54.785762837888456,5.512607382111538
22.552924872,61.2449964,54.785762837888456,6.459233562111539
22.568720411,62.19272873999999,57.1381073530187,5.0546213869812995
22.584649127,63.1484517,57.1381073530187,6.010344346981307
22.600249095,64.08444978,57.92222219139545,6.16222758860455
22.615768022,65.01558539999999,57.92222219139545,7.093363208604551
22.631322781,65.94887093999999,57.990406090384724,7.958464849615277
22.646900822,66.8835534,57.990406090384724,8.893147309615273
22.662260062,67.80510779999999,58.024498039879376,9.780609760120617
22.677931019,68.74536522000001,58.024498039879376,10.72086718012063
22.693581872,69.6844164,57.9449501577252,11.739466242274801
22.709358766,70.63103004,57.9449501577252,12.686079882274804
22.724951754,71.56660932,57.933586174560325,13.633023145439669
22.740768127,72.5155917,57.933586174560325,14.582005525439673
22.756463667,73.4573241,57.87676625873593,15.580557841264078
22.772254363,74.40476586,57.87676625873593,16.52799960126408
22.788040215,75.35191698,57.80858235974664,17.543334620253354
22.803592319,76.28504322,57.80858235974664,18.47646086025336
22.819213849,77.22233502,57.77449041025201,19.447844609747996
22.834796473,78.15729246,57.77449041025201,20.38280204974799
22.850316337,79.0884843,57.72903447759248,21.35944982240752
22.865846514,80.02029492,57.72903447759248,22.291260442407523
22.881453461,80.95671174,57.6608505786032,23.295861161396797
22.897210198,81.90211596,57.6608505786032,24.2412653813968
22.913086571,82.85469834,57.62675862910855,25.227939710891455
22.929172265,83.81983998,57.62675862910855,26.193081350891458
22.945143116,84.77809103999999,57.569938713284145,27.208152326715847
22.961259279,85.74506081999999,57.569938713284145,28.175122106715847
22.977121954,86.69682132,57.53584676378951,29.16097455621049
22.993088482,87.65481299999999,57.53584676378951,30.118966236210483
23.008861574,88.60119852,57.46766286480023,31.133535655199772
23.024467323,89.53754346,57.46766286480023,32.06988059519976
23.040300779,90.48755082000001,57.41084294897583,33.076707871024176
23.055846424,91.42028952000001,57.41084294897583,34.00944657102418
23.071485298,92.35862196000001,57.33129506682167,35.02732689317834
23.087323962,93.3089418,57.33129506682167,35.97764673317833
23.103018878,94.25063676,57.29720311732703,36.95343364267298
23.118802646,95.19766284,57.29720311732703,37.90045972267297
23.134553915,96.14273897999999,57.251747184667494,38.8909917953325
23.150188102,97.0807902,57.251747184667494,39.82904301533251
23.165887496,98.02275384000001,57.217655235172856,40.805098604827144
23.181637776,98.96777064,57.217655235172856,41.750115404827135
23.197413419,99.91430921999999,57.149471336183574,42.76483788381642
23.213106876,100.85591664,57.149471336183574,43.70644530381644
23.22903804,101.81178648000001,57.09265142035918,44.71913505964082
23.244631393,102.74738766,57.09265142035918,45.65473623964081
23.260045373,103.67222645999999,57.08128743719429,46.5909390228057
23.275602893,104.60567766,57.08128743719429,47.52439022280571
23.291154059,105.53874762,57.013103538205016,48.52564408179498
23.306969754,106.48768932,57.013103538205016,49.474585781794985
23.322570868,107.42375616,56.97901158871038,50.44474457128962
23.338446876,108.37631664000001,56.97901158871038,51.39730505128963
23.354254082,109.324749,56.94491963921573,52.379829360784264
23.370024362,110.2709658,56.94491963921573,53.32604616078426
23.386024952,111.2310012,56.86537175706156,54.365629442938435
23.401671534,112.16979612,56.86537175706156,55.304424362938434
23.417208117,113.10199109999999,56.819915824402045,56.282075275597954
23.432802616,114.03766104,56.819915824402045,57.21774521559796
23.449055028,115.01280575999999,56.77445989174253,58.23834586825746
23.464491559,115.93899762000001,56.77445989174253,59.16453772825747
23.48005085,116.87255508,56.751731925412756,60.12082315458726
23.496265606,117.84544043999999,56.751731925412756,61.093708514587235
23.51206349,118.79331348,56.68354802642348,62.109765453576514
23.527726478,119.73309275999999,56.68354802642348,63.04954473357652
23.543617277,120.6865407,56.64945607692884,64.03708462307115
23.559387557,121.63275749999998,56.64945607692884,64.98330142307114
23.575160388,122.57912736000002,56.626728110599075,65.95239924940094
23.591028948,123.53124095999999,56.626728110599075,66.9045128494009
23.606654072,124.46874840000001,56.615364127434205,67.85338427256582
23.622238519,125.40381522,56.615364127434205,68.7884510925658
23.637828227,126.33919769999999,56.53581624528003,69.80338145471995
23.653531735,127.28140818000001,56.53581624528003,70.74559193471998
23.669099047,128.21544690000002,56.51308827895028,71.70235862104974
23.684611411,129.14618873999999,56.51308827895028,72.63310046104972
23.700413878,130.09433675999998,56.45626836312587,73.63806839687412
23.716228324,131.04320352,56.45626836312587,74.58693515687413
23.731855427,131.9808297,56.45626836312587,75.52456133687413
23.747737737,132.93376830000003,56.45626836312587,76.47749993687414
23.763481089,133.87836941999998,56.41081243046634,77.46755698953363
23.779324597,134.8289799,56.41081243046634,78.41816746953367
23.795332063,135.78942786,56.38808446413659,79.40134339586339
23.810953958,136.72674156,56.38808446413659,80.33865709586341
23.826591633,137.66500206,56.36535649780683,81.29964556219319
23.842280715,138.60634698,56.36535649780683,82.24099048219317
23.857691934,139.53102012,56.29717259881755,83.23384752118244
23.873231173,140.46337446,56.29717259881755,84.16620186118246
23.888855516,141.40083504,56.26308064932291,85.13775439067712
23.904465796,142.33745184,56.26308064932291,86.0743711906771
23.920120607,143.27674050000002,56.26308064932291,87.0136598506771
23.935608961,144.20604174,56.26308064932291,87.9429610906771
23.951214241,145.14235854,56.20626073349851,88.9360978065015
23.966839886,146.07989724,56.20626073349851,89.8736365065015
23.982358917,147.01103909999998,56.21762471666339,90.7934143833366
23.998019196,147.95065584000002,56.21762471666339,91.73303112333663
24.013842653,148.90006326,56.194896750333626,92.70516650966638
24.029714338,149.85236436,56.194896750333626,93.65746760966638
24.045615814,150.80645292000003,56.16080480083898,94.64564811916104
24.06138026,151.75231967999997,56.16080480083898,95.591514879161
24.077108144,152.69599272,56.1494408176741,96.5465519023259
24.093098578,153.65541876,56.1494408176741,97.5059779423259
24.108734275,154.59356058,56.09262090184969,98.5009396781503
24.124174921,155.51999934,56.09262090184969,99.4273784381503
24.139757285,156.45494118,56.10398488501458,100.35095629498541
24.155335325,157.38962358,56.10398488501458,101.28563869498542
24.170897637,158.3233623,56.081256918684815,102.24210538131518
24.186482292,159.2584416,56.081256918684815,103.17718468131517
24.202265957,160.2054615,56.05852895235506,104.14693254764495
24.218048736,161.15242824,56.05852895235506,105.09389928764493
24.233834745,162.09958878,56.12671285134434,105.97287592865567
24.249773825,163.05593358,56.12671285134434,106.92922072865565
24.265415199,163.99441602000002,56.319900565147314,107.67451545485271
24.281300165,164.94751398,56.319900565147314,108.62761341485269
24.297199507,165.9014745,56.797187858072284,109.10428664192771
24.312769735,166.83568818,56.797187858072284,110.03850032192771
24.328200537,167.76153630000002,57.50175481429487,110.25978148570513
24.343685557,168.6906375,57.50175481429487,111.18888268570512
24.359350785,169.63055118,58.2404137200121,111.3901374599879
24.374887472,170.5627524,58.2404137200121,112.3223386799879
24.39024666,171.48430368,59.54727178397334,111.93703189602667
24.405897305,172.42334238,59.54727178397334,112.87607059602666
24.421505658,173.35984356,60.52457433615306,112.83526922384694
24.437059219,174.29305721999998,60.52457433615306,113.76848288384693
24.452661323,175.22918346,61.945072231763106,113.28411122823688
24.468147385,176.15834718,61.945072231763106,114.21327494823687
24.48370579,177.09185148,63.479209959021965,113.61264152097803
24.499432736,178.03546824,63.479209959021965,114.55625828097803
24.515270724,178.98574752000002,65.2065354000838,113.77921211991622
24.530950795,179.92655178,65.2065354000838,114.72001637991622
24.546706856,180.87191544,66.55884939670456,114.31306604329544
24.562531718,181.82140716,66.55884939670456,115.26255776329545
24.578234498,182.76357396,68.28617483776638,114.4773991222336
24.593867799,183.70157202000001,68.28617483776638,115.41539718223363
24.609668703,184.64962626,70.39987570643414,114.24975055356585
24.62523815,185.58379308000002,70.39987570643414,115.18391737356586
24.640789993,186.51690366,71.92264945052811,114.5942542094719
24.656405378,187.45382676,71.92264945052811,115.53117730947189
24.671975606,188.38804044,73.70679480741433,114.68124563258567
24.687522137,189.3208323,73.70679480741433,115.61403749258567
24.703338509,190.26981462,75.40002829898151,114.8697863210185
24.719033008,191.21148456,75.40002829898151,115.81145626101849
24.734812871,192.15827634000001,77.2069016221975,114.95137471780251
24.750669868,193.10969616,77.2069016221975,115.90279453780249
